ID	Front	Back	Code	Source	Tags
comparable_comparator-basic-001	What should you know about `Comparable` in Comparable and Comparator?	Comparable is implemented by a class to define its default or natural ordering.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-002	Why does `Comparable` matter in Java?	It allows lists of that class to be sorted using Collections.sort(list) and objects to be stored in sorted sets/maps.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-003	What should you know about `compareTo` in Comparable and Comparator?	"compareTo is the method on Comparable that evaluates ""this"" against another object, returning an int."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-004	Why does `compareTo` matter in Java?	It defines the natural ordering logic and returns <0, 0, or >0 depending on whether this object is less, equal, or greater.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-005	What should you know about `Comparator` in Comparable and Comparator?	Comparator defines external, custom ordering rules for objects, separate from the objects' class definition.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-006	Why does `Comparator` matter in Java?	It allows sorting objects in multiple ways (e.g. by name, by age) and sorting third-party classes that don't implement Comparable.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-007	What should you know about `compare` in Comparable and Comparator?	compare(o1, o2) is the abstract method in Comparator that compares two arguments.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-008	Why does `compare` matter in Java?	It executes custom ordering comparison, returning <0 if o1 < o2, 0 if o1 == o2, and >0 if o1 > o2.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-009	What should you know about `Natural ordering` in Comparable and Comparator?	Natural ordering is the default sorting sequence defined inside a class via Comparable.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-010	Why does `Natural ordering` matter in Java?	It provides a standard sorting behavior (e.g. numerical ascending, alphabetical case-sensitive) for a class.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-011	What should you know about `Custom ordering` in Comparable and Comparator?	Custom ordering uses a Comparator to sort objects in a different sequence than their natural ordering.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-012	Why does `Custom ordering` matter in Java?	It enables custom sort rules (like sorting descending, case-insensitive, or using specific properties).		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-013	What should you know about `Sort List object` in Comparable and Comparator?	Lists can be sorted in-place using the Collections.sort(list) utility or list.sort(comparator).		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-014	Why does `Sort List object` matter in Java?	It allows ordering a list's contents. Note that sorting immutable lists throws UnsupportedOperationException.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-015	What should you know about `Sort by multiple criteria` in Comparable and Comparator?	It sorts a collection by one field, and breaks ties by sorting by secondary/tertiary fields.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-016	Why does `Sort by multiple criteria` matter in Java?	"It is used to order complex objects. This is done by chaining comparators using ""thenComparing()""."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-017	What should you know about `Comparator.comparing` in Comparable and Comparator?	Comparator.comparing is a static factory method that creates a Comparator using a key extractor function.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-018	Why does `Comparator.comparing` matter in Java?	"It simplifies comparator creation. Primitive variations like ""comparingInt"" avoid autoboxing overhead."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-019	What should you know about `thenComparing` in Comparable and Comparator?	thenComparing is a default method in Comparator used to chain a secondary comparator to break ties.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-020	Why does `thenComparing` matter in Java?	It permits building multi-criteria comparators dynamically in a readable, chained fashion.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-021	What should you know about `Reverse order` in Comparable and Comparator?	Reverse order is the inverse of the normal sort sequence, created using reverseOrder() or reversed().		20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-022	Why does `Reverse order` matter in Java?	"It easily flips sorting direction. Note: calling "".reversed()"" at the end of a chain reverses the entire chain."		20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-023	What should you know about `Null handling:` in Comparable and Comparator?	Null handling specifies how to compare collections that contain null elements without causing NPE.		20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-basic-024	Why does `Null handling:` matter in Java?	Sorting nulls without explicit nullsFirst() or nullsLast() handling throws a NullPointerException.		20-comparable-comparator/theory/02-reverse-order-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
