ID	Question	Code	Answer	Explanation	Source	Tags
exception-code-001	What compile error does this code produce and why?	try { throw new java.io.IOException("File error"); } catch (Exception e) { System.out.println("Caught Exception"); } catch (java.io.IOException e) { System.out.println("Caught IOException"); }	Compile error: "exception java.io.IOException has already been caught." The IOException catch block is unreachable because IOException IS-A Exception, so the Exception catch absorbs it first.	Fix: reverse the order — IOException catch block BEFORE Exception catch block.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-002	What is printed, and why does finally run before the return?	public static int getValue() { try { System.out.println("In try"); return 42; } finally { System.out.println("In finally"); } } System.out.println("Result: " + getValue());	Output: In try / In finally / Result: 42. The JVM saves the return value 42 in a register, executes finally, then resumes with the saved value 42.	finally ALWAYS executes before the method exits — even when return is reached in try.	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-003	What is the output and what anti-pattern is demonstrated?	public static int getTricky() { try { return 10; } finally { return 20; } } System.out.println(getTricky());	Output: 20. The return 20 in finally overrides the return 10 from try. The saved value 10 is discarded.	Anti-pattern: returning from finally silently discards the try's return value AND any exception being propagated. Never return from finally.	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-004	What is the bug in this exception-handling code?	try { int data = Integer.parseInt("not_a_number"); } catch (NumberFormatException e) { /* intentionally empty */ } System.out.println("Processing continues...");	The exception is swallowed. The code silently ignores the parsing failure and continues as if it succeeded. Processing continues, but data was never set.	Fix: at minimum log the exception. Better: handle it (return default, throw meaningful exception) or let it propagate.	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-005	What is the output and in what order are resources closed?	class R implements AutoCloseable { String name; R(String n) { name = n; System.out.println("Open " + name); } public void close() { System.out.println("Close " + name); } } try (R r1 = new R("A"); R r2 = new R("B")) { System.out.println("Work"); }	Output: Open A / Open B / Work / Close B / Close A. Resources are closed in REVERSE declaration order.	Last-in, first-out closing order ensures dependent resources are closed before resources they depend on.	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/AutoCloseable.html	java::core::exception-handling java::code java::interview
exception-code-006	Write the exception chaining code that preserves the root cause.	// connectToDatabase() calls JDBC which throws SQLException. Wrap in DatabaseConnectionException preserving the original cause.	catch (java.sql.SQLException e) { throw new DatabaseConnectionException("Failed to connect", e); } // Caller: catch (DatabaseConnectionException e) { e.getMessage(); // "Failed to connect" e.getCause().getMessage(); // "ORA-12170: Timeout" }	Passing the original exception as the second constructor argument chains it as the cause. The full chain is visible in stack traces via getCause().	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-007	Does this code compile? What error if not?	try { int x = 10 / 2; } catch (java.io.IOException e) { System.out.println("IO error"); }	Compile error: "exception java.io.IOException is never thrown in body of corresponding try statement."	The compiler rejects checked exception catch blocks when the try body cannot throw that checked exception. Does NOT apply to RuntimeException or Exception.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-008	What is printed?	public static void level3() { int x = 10 / 0; } public static void level2() { level3(); } public static void level1() { try { level2(); } catch (ArithmeticException e) { System.out.println("Caught at level1: " + e.getMessage()); } } public static void main(String[] args) { level1(); }	Caught at level1: / by zero	ArithmeticException propagates: level3 throws → level2 (no try, propagates) → level1 catch block catches it.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code
exception-code-009	Does the multi-catch variable reassignment compile? Why?	try { int x = 10 / 0; } catch (ArithmeticException | NullPointerException e) { e = new ArithmeticException("new message"); }	Compile error: "cannot assign a value to final variable e". In a multi-catch block, the exception variable is implicitly final.	This enforces type safety — the variable could be of multiple types, so reassignment would be type-unsafe.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code java::interview
exception-code-010	Write a checked custom exception class with proper exception chaining support.		class ServiceUnavailableException extends Exception { public ServiceUnavailableException(String message) { super(message); } public ServiceUnavailableException(String message, Throwable cause) { super(message, cause); } } // With chaining: throw new ServiceUnavailableException("Service down", originalIOException);	Always provide both constructors: message-only and message+cause. Missing the cause constructor prevents exception chaining.	12-exception-handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::code
