ID	Front	Back	Code	Source	Tags
jvm_advanced-basic-001	What are the three distinct phases of the JVM ClassLoader Subsystem execution flow?	1) Loading (locates and imports class bytes), 2) Linking (Verification, Preparation, Resolution), 3) Initialization (runs <clinit> method).		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced java::term
jvm_advanced-basic-002	During the Linking phase of class loading, what is the primary security role of the Verification step?	It checks the class file format, bytecode validity, and type safety constraints to prevent the execution of malicious or corrupted code that could breach JVM security.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-basic-003	What action occurs during the Preparation step of the ClassLoader Linking phase?	The JVM allocates memory space for class/static variables and initializes them to their default values (e.g., null, 0, or false).		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-basic-004	What JVM compiler generated method executes static blocks and initializes static variable assignments during the Initialization phase?	The <clinit> method, which is generated by the Java compiler and run by the JVM ClassLoader Subsystem.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-basic-005	Why does the JVM combine JIT compilation with interpretation in the Execution Engine?	The Interpreter starts the application immediately without startup latency, while the JIT compiler identifies hot spots and compiles them into native machine code for maximum steady-state execution speed.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced java::interview
jvm_advanced-basic-006	In JVM Tiered Compilation, what is the main operational difference between the C1 (Client) compiler and the C2 (Server) compiler?	C1 compiles code quickly with light optimizations for fast initial execution speed, whereas C2 performs aggressive optimizations (like escape analysis and inlining) for maximum peak performance.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced
jvm_advanced-basic-007	What profiling metrics does the JVM use to determine if a method or code block has exceeded its JIT compilation threshold?	Method invocation counters (tracking how many times a method is called) and back-edge counters (tracking how many times a loop executes).		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced
jvm_advanced-basic-008	What does the weak generational hypothesis state regarding object lifetimes in JVM memory management?	It states that the vast majority of allocated objects die shortly after creation (have a very short lifespan).		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-basic-009	How do Survivor spaces (S0 and S1) prevent memory heap fragmentation during Minor GC?	By copying all live objects from Eden and the active Survivor space to the second Survivor space, leaving the source regions completely empty and the destination contiguous.		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-basic-010	What condition triggers the promotion of an object from a Survivor space to the Old Generation in the JVM?	When the object's age (number of survived Minor GCs) exceeds the aging threshold (configured by -XX:MaxTenuringThreshold).		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-basic-011	In terms of Stop-The-World (STW) pauses, how does Shenandoah GC differ fundamentally from G1 GC?	Unlike G1, which pauses application threads during its compaction phase, Shenandoah performs memory compaction concurrently with running application threads.		no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced java::interview
jvm_advanced-basic-012	What is the primary role of a Brooks Pointer in concurrent garbage collection compaction?	It is a reference prepended to every object header that directs reads and writes to either the original object or its relocated copy during concurrent compaction.		no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced
jvm_advanced-basic-013	How are JVM options categorized into Standard, Non-Standard, and Experimental/Developer flags?	Standard flags are universally supported and stable; Non-Standard flags (-X) are HotSpot-specific heap/JIT options; Developer/Experimental flags (-XX) are unstable tuning parameters requiring unlocking.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-basic-014	What command-line flags are used to configure the initial and maximum heap sizes in HotSpot?	The non-standard flags -Xms (for initial heap size) and -Xmx (for maximum heap size).		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-basic-015	What does the experimental JVM flag -XX:NewRatio configure?	The ratio between the size of the Old Generation and the Young Generation (e.g., -XX:NewRatio=2 means Old Gen is twice the size of Young Gen).		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-basic-016	Which JVM command-line flag is required to enable Developer/Experimental -XX configurations?	Either -XX:+UnlockExperimentalVMOptions or -XX:+UnlockDiagnosticVMOptions, depending on whether the target flag is experimental or diagnostic.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
