ID	Front	Back	Extra	Code	Source	Tags
jvm_advanced-extra-001	Explain how the ClassLoader verification step prevents security breaches in Java.	Verification parses bytecode instructions to verify stack state, type compatibility, and check access permissions before execution.	If a class file was modified by a malicious tool (e.g., bypass private fields), verification rejects it with a VerifyError instead of letting the JVM execute unsafe instructions.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced java::interview
jvm_advanced-extra-002	Why does Preparation step initialize static fields to default values rather than their declared values?	Because value assignment is part of class execution, which is deferred to the Initialization phase.	This separates resource allocation from logic execution. E.g., public static int x = 42; gets value 0 in Preparation and 42 only during Initialization.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-extra-003	How does JIT compilation optimize hot code via method inlining?	It replaces a method call instruction with the actual body of the target method, eliminating stack frame overhead.	This is a major compiler optimization that removes call instruction latency and opens up further optimization paths like constant folding and dead code elimination.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced
jvm_advanced-extra-004	Explain how Escape Analysis allows the JIT compiler to optimize object allocations.	It determines if an object's reference escapes the scope of the allocating thread or method.	If the object does not escape, the JVM can allocate it on the thread stack instead of the heap (scalar replacement), saving GC cleanup overhead entirely.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced java::interview
jvm_advanced-extra-005	Why are there two Survivor spaces (S0 and S1) instead of just one?	To allow copying and evacuating active objects back and forth, leaving one space completely empty and the other contiguous.	If there were only one survivor space, GC would have to mark-and-sweep or compact in place, leading to heap memory fragmentation or expensive in-memory shifting.		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-extra-006	Explain the risk of premature promotion in JVM Garbage Collection.	Short-lived objects are promoted to the Old Generation too early because Survivor spaces are full.	This causes the Old Generation to fill up rapidly, leading to frequent Major or Full GC cycles, which significantly degrades application throughput and latency.		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced java::interview
jvm_advanced-extra-007	How does Shenandoah GC handle concurrent writes while an object is being relocated?	It intercepts writes via a write barrier and uses Compare-And-Swap (CAS) to update the Brooks Pointer of the old object to point to the new copy before writing.	This ensures that any mutation is immediately written to the new to-space copy of the object rather than the stale from-space object, avoiding data loss.		no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced
jvm_advanced-extra-008	What performance overhead does Shenandoah's load barrier introduce?	A tiny CPU cycle overhead on every object reference read because the barrier must dereference the Brooks Pointer.	Although there is a minor throughput cost (typically 2-5% decrease in overall speed), it is a trade-off for eliminating long Stop-The-World pause latency.		no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced
jvm_advanced-extra-009	Why should JVM memory flags -Xms and -Xmx be set to the same value in production?	To prevent the JVM from continuously sizing and resizing the heap dynamically.	Heap resizing operations trigger Stop-The-World events and CPU spikes. Setting -Xms equal to -Xmx pre-allocates maximum memory at startup, improving latency stability.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::interview
jvm_advanced-extra-010	What is the danger of setting -XX:MaxGCPauseMillis to an aggressively low value (e.g., 5ms)?	It forces the GC to run extremely frequently on very small regions, leading to severe throughput degradation.	The JVM spends all its CPU resources doing incremental GC work instead of executing application business logic, a state known as GC thrashing.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-extra-011	Explain the difference between JVM standard options and experimental options.	Standard options are stable and portable across vendors, while experimental options are vendor-specific and must be unlocked explicitly.	Standard flags do not change across versions easily, but experimental -XX flags can be added or deleted without any notice between minor JDK releases.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-extra-012	How does the JVM ClassLoader ensure that core system classes (like java.lang.Object) are not overridden?	By using the delegation model where class loading requests are delegated up to the Bootstrap ClassLoader first.	If a user writes a custom class named java.lang.Object, the Bootstrap ClassLoader loads the original system version first, preventing class spoofing security attacks.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
